pop	ind	jacea	nigra	F1	F2	BC1_jacea	BC1_nigra	BC2_jacea	BC2_nigra	HybClass_LDjacea
WR	WR.X	0	0	0	0.99987	0.00013	0	0	0	F2
WR	WR.Z	0	0	0	1	0	0	0	0	F2
WR	WR.Y	0	0	0	1	0	0	0	0	F2
WR	WR.4	0	0	0	1	0	0	0	0	F2
WR	WR.17	0	0	0	0.1169	0.01491	0	0.86819	0	BC2_jacea
WR	WR.21B	0	0	0	1	0	0	0	0	F2
WR	WR.R	3e-05	0	0	0	0.00055	0	0.99942	0	BC2_jacea
WR	WR.6B	0	0	0	1	0	0	0	0	F2
WR	WR.2	1	0	0	0	0	0	0	0	jacea
WR	WR.11	0	0	0	1	0	0	0	0	F2
WR	WR.3	0	0	0	0.99999	1e-05	0	0	0	F2
WR	WR.12	0	0	0	0.98481	0.00151	0	0.01368	0	F2
WR	WR.14	0	0	0	1	0	0	0	0	F2
WR	WR.18	0	0	0	0.00123	0.98534	0	0.01343	0	BC1_jacea
WR	WR.10	0	0	0	1	0	0	0	0	F2
SH	SH.1	1	0	0	0	0	0	0	0	jacea
SH	SH.15	1	0	0	0	0	0	0	0	jacea
SH	SH.21	1	0	0	0	0	0	0	0	jacea
SH	SH.6	0	0	0	1	0	0	0	0	F2
SH	SH.9	0.99973	0	0	0	0	0	0.00027	0	jacea
SH	SH.14	1	0	0	0	0	0	0	0	jacea
SH	SH.10	1	0	0	0	0	0	0	0	jacea
SH	SH.26	1	0	0	0	0	0	0	0	jacea
SH	SH.18	0.99998	0	0	0	0	0	2e-05	0	jacea
SH	SH.19	0.98948	0	0	0	0	0	0.01051	0	jacea
SH	SH.4	1	0	0	0	0	0	0	0	jacea
SH	SH.7	1	0	0	0	0	0	0	0	jacea
SH	SH.25	1	0	0	0	0	0	0	0	jacea
SH	SH.5	1	0	0	0	0	0	0	0	jacea
SH	SH.2	1	0	0	0	0	0	0	0	jacea
RM	RM.10	1	0	0	0	0	0	0	0	jacea
RM	RM.5	1	0	0	0	0	0	0	0	jacea
RM	RM.1	1	0	0	0	0	0	0	0	jacea
RM	RM.11	1	0	0	0	0	0	0	0	jacea
RM	RM.2	0.99987	0	0	0	0	0	0.00013	0	jacea
RM	RM.6B	0.99998	0	0	0	0	0	2e-05	0	jacea
RM	RM.54	1	0	0	0	0	0	0	0	jacea
RM	RM.15	0.6452	0	0	0	0	0	0.3548	0	jacea
RM	RM.51	0.76626	0	0	0	0.00034	0	0.2334	0	jacea
RM	RM.3	1	0	0	0	0	0	0	0	jacea
RM	RM.52	1	0	0	0	0	0	0	0	jacea
RM	RM.56	1	0	0	0	0	0	0	0	jacea
RM	RM.4	1	0	0	0	0	0	0	0	jacea
FC	FC.6	1	0	0	0	0	0	0	0	jacea
FC	FC.21	1	0	0	0	0	0	0	0	jacea
FC	FC.3	0.99938	0	0	0	0	0	0.00062	0	jacea
FC	FC.20	1	0	0	0	0	0	0	0	jacea
FC	FC.19	0.99998	0	0	0	0	0	2e-05	0	jacea
FC	FC.10	1	0	0	0	0	0	0	0	jacea
FC	FC.9	0.99997	0	0	0	0	0	3e-05	0	jacea
FC	FC.1	0.9979	0	0	0	0	0	0.0021	0	jacea
FC	FC.15	0.9999	0	0	0	0	0	1e-04	0	jacea
FC	FC.25	1	0	0	0	0	0	0	0	jacea
FC	FC.24	0.99994	0	0	0	0	0	6e-05	0	jacea
FC	FC.11	0.99955	0	0	0	0	0	0.00045	0	jacea
FC	FC.22	1	0	0	0	0	0	0	0	jacea
FC	FC.5	1	0	0	0	0	0	0	0	jacea
FC	FC.14	1	0	0	0	0	0	0	0	jacea
FC	FC.8	1	0	0	0	0	0	0	0	jacea
MC	MC.5	0.06927	0	0	0	0	0	0.93073	0	BC2_jacea
MC	MC.3	0.86243	0	0	0	0	0	0.13757	0	jacea
MC	MC.11	2e-05	0	0	0	2e-05	0	0.99995	0	BC2_jacea
MC	MC.2	0.07159	0	0	0	0	0	0.92841	0	BC2_jacea
MC	MC.14	0.00033	0	0	0	0	0	0.99967	0	BC2_jacea
MC	MC.18	0	0	0	0.99981	7e-05	0	0.00012	0	F2
MC	MC.8	1	0	0	0	0	0	0	0	jacea
MC	MC.10	0	0	0	0	3e-05	0	0.99997	0	BC2_jacea
MC	MC.16	0.99988	0	0	0	0	0	0.00012	0	jacea
MC	MC.12	0.00132	0	0	0	0	0	0.99868	0	BC2_jacea
MC	MC.1	0.01375	0	0	0	0	0	0.98625	0	BC2_jacea
MC	MC.7	0.99999	0	0	0	0	0	1e-05	0	jacea
MC	MC.20	0.00217	0	0	0	0	0	0.99782	0	BC2_jacea
MC	MC.19	8e-05	0	0	0	7e-05	0	0.99985	0	BC2_jacea
MC	MC.6	0.99928	0	0	0	0	0	0.00072	0	jacea
MC	MC.13	0.00209	0	0	0	1e-05	0	0.9979	0	BC2_jacea
MP	MP.16	0	0.00908	0	0.00659	0	0.02564	0	0.9587	BC2_nigra
MP	MP.18	0	0	0	1	0	0	0	0	F2
MP	MP.19	0	0.00448	0	0.01397	0	0.0747	0	0.90685	BC2_nigra
MP	MP.7	0	0	0	1	0	0	0	0	F2
MP	MP.14	0	0.9384	0	0	0	0	0	0.0616	nigra
MP	MP.11	0	0	0	1	0	0	0	0	F2
MP	MP.6	0	0.9494	0	0	0	0	0	0.0506	nigra
MP	MP.15	0	0	0	0	1e-05	0	0.99998	0	BC2_jacea
MP	MP.3	0	0	0	0.99583	0	0.00267	0	0.0015	F2
MP	MP.8	0	0.52304	0	0	0	0	0	0.47696	nigra
MP	MP.17	0	0	0	0.99978	0	0.00022	0	0	F2
MP	MP.1	0	0	0	0.99996	0	3e-05	0	0	F2
MP	MP.13	0	0	0	1	0	0	0	0	F2
MP	MP.9	0	0.02871	0	0.00053	0	0.03691	0	0.93385	BC2_nigra
MP	MP.2	0	0.82007	0	0	0	4e-05	0	0.17988	nigra
MP	MP.10	0	0.00302	0	0	0	0.21494	0	0.78203	BC2_nigra
MP	MP.5	0	0.99931	0	0	0	0	0	0.00069	nigra
JV	JV.7	0.99719	0	0	0	0	0	0.00281	0	jacea
JV	JV.11	0.9736	0	0	0	0	0	0.0264	0	jacea
JV	JV.13	0.99848	0	0	0	0	0	0.00152	0	jacea
JV	JV.3	0	0	0	0	0.00036	0	0.99964	0	BC2_jacea
JV	JV.4	0.02293	0	0	0	0	0	0.97707	0	BC2_jacea
JV	JV.5	0.99997	0	0	0	0	0	3e-05	0	jacea
JV	JV.6	0.99963	0	0	0	0	0	0.00037	0	jacea
JV	JV.2	0	0	0	1	0	0	0	0	F2
JV	JV.16	1	0	0	0	0	0	0	0	jacea
JV	JV.1	5e-05	0	0	0	0.00031	0	0.99964	0	BC2_jacea
JV	JV.18	0.10543	0	0	0	8e-05	0	0.89449	0	BC2_jacea
JV	JV.15	0.99999	0	0	0	0	0	1e-05	0	jacea
